"ChargePeriodStartTimestamp","ChargePeriodStartDate","Metric","ProjectId","ProjectName","Charges (USD)","Usage","Formatted Usage"
"2026-07-21T07:00:00.000Z","2026-07-21","Fluid Provisioned Memory","prj_zOf9lonDYnzZfcNYzr4uAvaIDIe0","voriontracker",0.2071815336227707,19.420972163465382,"19.42 GB Hrs"
"2026-07-21T07:00:00.000Z","2026-07-21","Fluid Provisioned Memory","prj_O1LbcYBnvnDS4qAzaGujI2CZ4ubP","v0-corbiz",0.0012242742246419984,0.1138772699100228,"0.11 GB Hrs"
"2026-07-21T07:00:00.000Z","2026-07-21","Fluid Provisioned Memory","prj_A8d3TMqR4GuLqKT2iR9NrvJXHmdr","v0-corbiz-erp-theme",0.00009992970992063686,0.009427331124594013,"0.01 GB Hrs"
"2026-07-21T07:00:00.000Z","2026-07-21","Image Optimization Cache Writes","prj_zOf9lonDYnzZfcNYzr4uAvaIDIe0","voriontracker",0.000004,1,"1 Write"
"2026-07-21T07:00:00.000Z","2026-07-21","Function Invocations","prj_zOf9lonDYnzZfcNYzr4uAvaIDIe0","voriontracker",0.19603434870650607,326723.91451084346,"326,723.91 Invocations"
"2026-07-21T07:00:00.000Z","2026-07-21","Function Invocations","prj_O1LbcYBnvnDS4qAzaGujI2CZ4ubP","v0-corbiz",0.0009798692777713601,1633.1154629522669,"1,633.12 Invocations"
"2026-07-21T07:00:00.000Z","2026-07-21","Function Invocations","prj_A8d3TMqR4GuLqKT2iR9NrvJXHmdr","v0-corbiz-erp-theme",0.000010182015722563032,16.970026204271722,"16.97 Invocations"
"2026-07-21T07:00:00.000Z","2026-07-21","Edge Requests - Additional CPU Duration","prj_zOf9lonDYnzZfcNYzr4uAvaIDIe0","voriontracker",0.005975500000000001,0.01810833333354815,"1 minutes"
"2026-07-21T07:00:00.000Z","2026-07-21","Edge Requests - Additional CPU Duration","prj_O1LbcYBnvnDS4qAzaGujI2CZ4ubP","v0-corbiz",0.0000405,0.00012222222201092663,"440 ms"
"2026-07-21T07:00:00.000Z","2026-07-21","Edge Requests - Additional CPU Duration","prj_A8d3TMqR4GuLqKT2iR9NrvJXHmdr","v0-corbiz-erp-theme",0.000011333333333333334,0.00003055554444092289,"110 ms"
